Hari_ke,Tanggal,Jumlah_Kasus_Kumulatif,Jumlah_Pasien_Sembuh,Jumlah_Pasien_Meninggal,Jumlah_pasien_dalam_perawatan,Jumlah_Kasus_Baru_per_Hari,Jumlah_Kasus_Sembuh_per_Hari,Jumlah_Kasus_Meninggal_per_Hari,Jumlah_Kasus_Dirawat_per_Hari,Persentase_Pasien_Sembuh,Persentase_Pasien_Meninggal,Persentase_Pasien_dalam_Perawatan,Jumlah_Spesimen_Diperiksa,Jumlah_Kasus_Diperiksa,Jumlah_Negatif,Spesimen_Diperiksa_Baru_Harian,Kasus_Diperiksa_Baru_Harian,PDP,ODP,Penambahan_Kasus_Terkonfirmasi_Terkini,Kasus_Sedang_Investigasi_Lapangan,Jumlah_Spesimen_Diperiksa_Terkini,Jumlah_Kasus_Diperiksa_Terkini,Spesimen_Diperiksa_Baru_Harian_Terkini,Hasil_Positif_Terkini,Hasil_Negatif_Terkini,PDP_Terkini,ODP_Terkini,Jumlah_Provinsi_Terdampak,Jumlah_KabKot_Terdampak,Pembaruan_Terakhir,FID,suspek
1,2020/03/02 00:00:00+00,2,0,0,2,2,0,0,2,0,0,100,,339,335,,,,,3989,57796,2922648,866539,36753,108376,758163,13439,33504,34,493,2020/09/20 09:00:00+00,1,107370
52,2020/03/03 00:00:00+00,2,0,0,2,0,0,0,0,0,0,100,55732,341,337,5362,2,17754,193571,,,,,,,,,,,,1970/01/01 00:00:00+00,2,
2,2020/03/04 00:00:00+00,2,0,0,2,0,0,0,0,0,0,100,,372,356,,31,,,,,,,,,,,,,,1970/01/01 00:00:00+00,3,
53,2020/03/05 00:00:00+00,2,0,0,2,0,0,0,0,0,0,100,59935,388,371,4203,16,18283,195948,,,,,,,,,,,,1970/01/01 00:00:00+00,4,
54,2020/03/06 00:00:00+00,4,0,0,4,2,0,0,2,0,0,100,64054,450,422,4119,62,18301,197951,,,,,,,,,,,,1970/01/01 00:00:00+00,5,
3,2020/03/07 00:00:00+00,4,0,0,4,0,0,0,0,0,0,100,,454,422,,4,,,,,,,,,,,,,,1970/01/01 00:00:00+00,6,
55,2020/03/08 00:00:00+00,6,0,0,6,2,0,0,2,0,0,100,67828,483,445,3774,29,19084,206911,,,,,,,,,,,,1970/01/01 00:00:00+00,7,
4,2020/03/09 00:00:00+00,19,0,0,19,13,0,0,13,0,0,100,,543,487,,60,,,,,,,,,,,,,,1970/01/01 00:00:00+00,8,
5,2020/03/10 00:00:00+00,27,2,0,25,8,2,0,6,7.40740740740741,0,92.5925925925926,,694,648,,151,,,,,,,,,,,,,,1970/01/01 00:00:00+00,9,
56,2020/03/11 00:00:00+00,34,2,1,31,7,0,1,6,5.88235294117647,2.94117647058824,91.1764705882353,72099,793,744,4271,99,19648,209040,,,,,,,,,,,,1970/01/01 00:00:00+00,10,
57,2020/03/12 00:00:00+00,34,2,1,31,0,0,0,0,5.88235294117647,2.94117647058824,91.1764705882353,75157,862,811,3058,69,19987,210199,,,,,,,,,,,,1970/01/01 00:00:00+00,11,
6,2020/03/13 00:00:00+00,69,2,4,63,35,0,3,32,2.89855072463768,5.79710144927536,91.304347826087,,1005,917,,143,,,,,,,,,,,,,,1970/01/01 00:00:00+00,12,
7,2020/03/14 00:00:00+00,96,8,5,83,27,6,1,20,8.33333333333333,5.20833333333333,86.4583333333333,,1205,1109,,200,,,,,,,,,,,,,,1970/01/01 00:00:00+00,13,
58,2020/03/15 00:00:00+00,117,8,5,104,21,0,0,21,6.83760683760684,4.27350427350427,88.8888888888889,79618,1293,1167,4461,88,20428,213644,,,,,,,,,,,,1970/01/01 00:00:00+00,14,
59,2020/03/16 00:00:00+00,134,8,5,121,17,0,0,17,5.97014925373134,3.73134328358209,90.2985074626866,86985,1230,1083,7367,,21653,221750,,,,,,,,,,,,1970/01/01 00:00:00+00,15,
8,2020/03/17 00:00:00+00,172,9,5,158,38,1,0,37,5.23255813953488,2.90697674418605,91.8604651162791,,1372,1178,,120,,,,,,,,,,,,,,1970/01/01 00:00:00+00,16,
9,2020/03/18 00:00:00+00,227,11,19,197,55,2,14,39,4.84581497797357,8.37004405286344,86.784140969163,,1592,1342,,197,,,,,,,,,,,,,,1970/01/01 00:00:00+00,17,
60,2020/03/19 00:00:00+00,309,15,25,269,82,4,6,72,4.85436893203883,8.09061488673139,87.0550161812298,94599,1898,1570,7614,287,21827,230411,,,,,,,,,,,,1970/01/01 00:00:00+00,18,
61,2020/03/20 00:00:00+00,369,17,32,320,60,2,7,51,4.6070460704607,8.67208672086721,86.7208672086721,102305,2028,1643,7706,112,22123,233120,,,,,,,,,,,,1970/01/01 00:00:00+00,19,
10,2020/03/21 00:00:00+00,450,20,38,392,81,3,6,72,4.44444444444444,8.44444444444444,87.1111111111111,,2365,1895,,317,,,,,,,,,,,,,,1970/01/01 00:00:00+00,20,
11,2020/03/22 00:00:00+00,514,29,48,437,64,9,10,45,5.6420233463035,9.33852140077821,85.0194552529183,,2438,1904,,53,,,,,,,,,,,,,,1970/01/01 00:00:00+00,21,
62,2020/03/23 00:00:00+00,579,30,49,500,65,1,1,63,5.18134715025907,8.46286701208981,86.3557858376511,107943,2756,2177,5638,318,22545,235035,,,,,,,,,,,,1970/01/01 00:00:00+00,22,
63,2020/03/24 00:00:00+00,686,30,55,601,106,0,6,101,4.3731778425656,8.01749271137026,87.6093294460641,112965,3332,2625,5022,554,23130,236369,,,,,,,,,,,,1970/01/01 00:00:00+00,23,
12,2020/03/25 00:00:00+00,790,31,58,701,105,1,3,100,3.92405063291139,7.34177215189873,88.7341772151899,,3822,3032,,490,,,,,,,,,,,,,,1970/01/01 00:00:00+00,24,
13,2020/03/26 00:00:00+00,893,35,78,780,103,4,20,79,3.91937290033595,8.73460246360582,87.3460246360582,,4336,3443,,514,,,,,,,,,,,,,,1970/01/01 00:00:00+00,25,
64,2020/03/27 00:00:00+00,1046,46,87,913,153,11,9,133,4.39770554493308,8.31739961759082,87.2848948374761,116861,5775,4729,3896,1439,24020,238178,,,,,,,,,,,,1970/01/01 00:00:00+00,26,
65,2020/03/28 00:00:00+00,1155,59,102,994,109,13,15,81,5.10822510822511,8.83116883116883,86.0606060606061,121547,6266,5111,4686,491,26408,239226,,,,,,,,,,,,1970/01/01 00:00:00+00,27,
14,2020/03/29 00:00:00+00,1285,64,114,1107,130,5,12,113,4.98054474708171,8.8715953307393,86.147859922179,,6534,5249,,268,,,,,,,,,,,,,,1970/01/01 00:00:00+00,28,
15,2020/03/30 00:00:00+00,1414,75,122,1217,129,11,8,110,5.3041018387553,8.62800565770863,86.0678925035361,,6663,5249,,129,,,,,,,,,,,,,,1970/01/01 00:00:00+00,29,
66,2020/03/31 00:00:00+00,1528,81,136,1311,114,6,14,94,5.30104712041885,8.90052356020942,85.7984293193717,128383,6777,5249,6836,114,26932,240726,,,,,,,,,,,,1970/01/01 00:00:00+00,30,
67,2020/04/01 00:00:00+00,1677,103,157,1417,149,22,21,106,6.14192009540847,9.36195587358378,84.4961240310078,134151,7193,5516,5768,416,28508,243455,,,,,,,,,,,,1970/01/01 00:00:00+00,31,
16,2020/04/02 00:00:00+00,1790,112,170,1508,113,9,13,91,6.25698324022346,9.49720670391061,84.2458100558659,,7425,5635,,232,,,,,,,,,,,,,,1970/01/01 00:00:00+00,32,
17,2020/04/03 00:00:00+00,1986,134,181,1671,196,22,11,163,6.7472306143001,9.11379657603223,84.1389728096677,,7986,5715,,561,,,,,,,,,,,,,,1970/01/01 00:00:00+00,33,
68,2020/04/04 00:00:00+00,2092,150,191,1751,106,16,10,80,7.17017208413002,9.13001912045889,83.6998087954111,143781,9712,7620,9301,1726,29087,244480,,,,,,,,,,,,1970/01/01 00:00:00+00,34,
69,2020/04/05 00:00:00+00,2273,164,198,1911,181,14,7,160,7.21513418389793,8.71095468543775,84.0739111306643,150887,11242,8969,7435,153,29690,246847,,,,,,,,,,,,1970/01/01 00:00:00+00,35,
18,2020/04/06 00:00:00+00,2491,192,209,2090,218,28,11,179,7.70774789241269,8.39020473705339,83.9020473705339,,13186,10695,,1944,,,,,,,,,,,,,,1970/01/01 00:00:00+00,36,
19,2020/04/07 00:00:00+00,2738,204,221,2313,247,12,12,223,7.45069393718042,8.07158509861213,84.4777209642075,,14353,11615,,1167,,,,,,,,,,,,,,1970/01/01 00:00:00+00,37,
70,2020/04/08 00:00:00+00,2956,222,240,2494,218,18,19,181,7.51014884979702,8.1190798376184,84.3707713125846,158273,16511,13555,7386,2158,30317,248690,,,,,,,,,,,,1970/01/01 00:00:00+00,38,
71,2020/04/09 00:00:00+00,3293,252,280,2761,337,30,40,267,7.65259641664136,8.50288490737929,83.8445186759793,161351,17679,14386,3078,1168,31994,249105,,,,,,,,,,,,1970/01/01 00:00:00+00,39,
20,2020/04/10 00:00:00+00,3512,282,306,2924,219,30,26,163,8.02961275626424,8.7129840546697,83.2574031890661,,19452,15940,,1773,,,,,,,,,,,,,,1970/01/01 00:00:00+00,40,
21,2020/04/11 00:00:00+00,3842,286,327,3229,330,4,21,305,7.44403956272775,8.51119208745445,84.0447683498178,,19964,16122,,512,,,,,,,,,,,,,,1970/01/01 00:00:00+00,41,
72,2020/04/12 00:00:00+00,4241,359,373,3509,399,73,46,280,8.46498467342608,8.7950954963452,82.7399198302287,165128,27075,22834,3777,7111,32147,251861,,,,,,,,,,,,1970/01/01 00:00:00+00,42,
73,2020/04/13 00:00:00+00,4557,380,399,3778,316,21,26,269,8.33881939872723,8.75576036866359,82.9054202326092,169195,27953,23396,4067,878,33042,256299,,,,,,,,,,,,1970/01/01 00:00:00+00,43,
22,2020/04/14 00:00:00+00,4839,426,459,3954,282,46,60,176,8.8034717916925,9.48543087414755,81.71109733416,,31628,26789,,3675,,,,,,,,,,,,,,1970/01/01 00:00:00+00,44,
23,2020/04/15 00:00:00+00,5136,446,469,4221,297,20,10,267,8.68380062305296,9.1316199376947,82.1845794392523,,33001,27865,,1373,,,,,,,,,,,,,,1970/01/01 00:00:00+00,45,
74,2020/04/16 00:00:00+00,5516,548,496,4472,380,102,27,251,9.93473531544598,8.99202320522117,81.0732414793329,173690,34975,29459,4495,1974,33672,258639,,,,,,,,,,,,1970/01/01 00:00:00+00,46,
75,2020/04/17 00:00:00+00,5923,607,520,4796,407,59,24,324,10.2481850413642,8.7793347965558,80.97248016208,178602,37134,31211,4912,2159,34360,262919,,,,,,,,,,,,1970/01/01 00:00:00+00,47,
24,2020/04/18 00:00:00+00,6248,631,535,5082,325,24,15,286,10.0992317541613,8.56274007682458,81.3380281690141,,39422,33174,,2288,,,,,,,,,,,,,,1970/01/01 00:00:00+00,48,
76,2020/04/19 00:00:00+00,6575,686,582,5307,327,55,47,225,10.4334600760456,8.85171102661597,80.7148288973384,182818,42219,35644,4216,2797,35069,269449,,,,,,,,,,,,1970/01/01 00:00:00+00,49,
25,2020/04/20 00:00:00+00,6760,747,590,5423,185,61,8,116,11.0502958579882,8.72781065088757,80.2218934911243,,43749,36989,,153,,,,,,,,,,,,,,1970/01/01 00:00:00+00,50,
77,2020/04/21 00:00:00+00,7135,842,616,5677,375,95,26,254,11.8009810791871,8.63349684653118,79.5655220742817,187965,46173,39038,5147,2424,35800,270876,,,,,,,,,,,,1970/01/01 00:00:00+00,51,
26,2020/04/22 00:00:00+00,7418,913,635,5870,283,71,19,193,12.3078997034241,8.56025882987328,79.1318414667026,,47361,39943,,1188,,,,,,,,,,,,,,1970/01/01 00:00:00+00,52,
78,2020/04/23 00:00:00+00,7775,960,647,6168,357,47,12,298,12.3472668810289,8.32154340836013,79.3311897106109,190660,48647,40872,2695,1286,11422,45047,,,,,,,,,,,,1970/01/01 00:00:00+00,53,
27,2020/04/24 00:00:00+00,8211,1002,689,6520,436,42,42,352,12.2031421264158,8.39118255998051,79.4056753136037,,50563,42352,,1916,,,,,,,,,,,,,,1970/01/01 00:00:00+00,54,
79,2020/04/25 00:00:00+00,8607,1042,720,6845,396,40,31,325,12.1064250029046,8.36528407110491,79.5282909259905,202936,52541,43934,12276,1978,11891,45300,,,,,,,,,,,,1970/01/01 00:00:00+00,55,
28,2020/04/26 00:00:00+00,8882,1107,743,7032,275,65,23,187,12.4634091420851,8.3652330556181,79.1713578022968,,56974,48092,,4433,,,,,,,,,,,,,,1970/01/01 00:00:00+00,56,
80,2020/04/27 00:00:00+00,9096,1151,765,7180,214,44,22,148,12.6539138082674,8.41029023746702,78.9357959542656,211883,59409,50313,8947,2435,11705,44703,,,,,,,,,,,,1970/01/01 00:00:00+00,57,
29,2020/04/28 00:00:00+00,9511,1254,773,7484,415,103,8,304,13.1847334665125,8.12743139522658,78.687835138261,,62544,53033,,3135,,,,,,,,,,,,,,1970/01/01 00:00:00+00,58,
81,2020/04/29 00:00:00+00,9771,1391,784,7596,260,137,11,112,14.2360045031215,8.02374373145021,77.7402517654283,219975,67784,58013,8092,524,11066,50187,,,,,,,,,,,,1970/01/01 00:00:00+00,59,
30,2020/04/30 00:00:00+00,10118,1522,792,7804,347,131,8,208,15.0424985174936,7.82763391974699,77.1298675627594,,72531,60233,,4567,,,,,,,,,,,,,,1970/01/01 00:00:00+00,60,
82,2020/05/01 00:00:00+00,10551,1591,800,8160,433,69,8,356,15.0791394180646,7.58221969481566,77.3386408871197,229334,76538,65987,9359,4187,11028,47150,,,,,,,,,,,,1970/01/01 00:00:00+00,61,
31,2020/05/02 00:00:00+00,10843,1665,831,8347,292,74,31,187,15.3555289126625,7.66393064650005,76.9805404408374,,79868,69025,,333,,,,,,,,,,,,,,1970/01/01 00:00:00+00,62,
83,2020/05/03 00:00:00+00,11192,1876,845,8471,349,211,14,124,16.7619728377412,7.55003573981415,75.6879914224446,239740,83012,71820,10406,3144,11495,49958,,,,,,,,,,,,1970/01/01 00:00:00+00,63,
32,2020/05/04 00:00:00+00,11587,1954,864,8769,395,78,19,298,16.8637265901441,7.45663243289894,75.6796409769569,,86061,74474,,3049,,,,,,,,,,,,,,1970/01/01 00:00:00+00,64,
84,2020/05/05 00:00:00+00,12071,2197,872,9002,484,243,8,233,18.2006461767873,7.22392510976721,74.5754287134454,248555,88924,76853,8815,2863,11389,42551,,,,,,,,,,,,1970/01/01 00:00:00+00,65,
33,2020/05/06 00:00:00+00,12438,2317,895,9226,367,120,23,224,18.6283968483679,7.19569062550249,74.1759125261296,,92976,80538,,4052,,,,,,,,,,,,,,1970/01/01 00:00:00+00,66,
85,2020/05/07 00:00:00+00,12776,2381,930,9465,338,64,35,239,18.6365059486537,7.27927363807138,74.0842204132749,256946,96717,83941,8391,3741,12342,49361,,,,,,,,,,,,1970/01/01 00:00:00+00,67,
34,2020/05/08 00:00:00+00,13112,2494,943,9675,336,113,13,210,19.0207443563148,7.19188529591214,73.787370347773,,103361,90249,,6644,,,,,,,,,,,,,,1970/01/01 00:00:00+00,68,
86,2020/05/09 00:00:00+00,13645,2607,959,10079,533,113,16,404,19.105899596922,7.02821546353976,73.8658849395383,264098,108699,95054,7152,5338,12022,65748,,,,,,,,,,,,1970/01/01 00:00:00+00,69,
35,2020/05/10 00:00:00+00,14032,2698,973,10361,387,91,14,282,19.22748004561,6.93415051311288,73.8383694412771,,113452,99420,,4753,,,,,,,,,,,,,,1970/01/01 00:00:00+00,70,
87,2020/05/11 00:00:00+00,14265,2881,991,10393,233,183,18,32,20.1962846126884,6.94707325622152,72.8566421310901,278411,116358,102093,14313,2906,12667,49942,,,,,,,,,,,,1970/01/01 00:00:00+00,71,
36,2020/05/12 00:00:00+00,14749,3063,1007,10679,484,182,16,286,20.767509661672,6.82758153095125,72.4049088073768,,119728,104979,,337,,,,,,,,,,,,,,1970/01/01 00:00:00+00,72,
88,2020/05/13 00:00:00+00,15438,3287,1028,11123,689,224,21,444,21.2916180852442,6.65889363907242,72.0494882756834,289906,123572,108134,11495,3844,13250,48749,,,,,,,,,,,,1970/01/01 00:00:00+00,73,
37,2020/05/14 00:00:00+00,16006,3518,1043,11445,568,231,15,322,21.9792577783331,6.51630638510559,71.5044358365613,,127813,111807,,4241,,,,,,,,,,,,,,1970/01/01 00:00:00+00,74,
89,2020/05/15 00:00:00+00,16496,3803,1076,11617,490,285,33,172,23.05407371484,6.52279340446169,70.4231328806983,300545,132060,115564,10639,4247,12499,49212,,,,,,,,,,,,1970/01/01 00:00:00+00,75,
38,2020/05/16 00:00:00+00,17025,3911,1089,12025,529,108,13,408,22.9720998531571,6.39647577092511,70.6314243759178,,135726,118701,,3665,,,,,,,,,,,,,,1970/01/01 00:00:00+00,76,
90,2020/05/17 00:00:00+00,17514,4129,1148,12237,489,218,59,212,23.5754253739865,6.55475619504396,69.8698184309695,311906,140473,122959,11361,4748,12832,47714,,,,,,,,,,,,1970/01/01 00:00:00+00,77,
39,2020/05/18 00:00:00+00,18010,4324,1191,12495,496,195,43,258,24.0088839533592,6.6129927817879,69.3781232648529,,143035,125025,,2562,,,,,,,,,,,,,,1970/01/01 00:00:00+00,78,
91,2020/05/19 00:00:00+00,18496,4467,1221,12808,486,143,30,313,24.1511678200692,6.60142733564014,69.2474048442907,323376,147799,129303,1147,4764,12913,49936,,,,,,,,,,,,1970/01/01 00:00:00+00,79,
40,2020/05/20 00:00:00+00,19189,4575,1242,13372,693,108,21,564,23.8417843556204,6.47245817916515,69.6857574652145,,154139,134950,,634,,,,,,,,,,,,,,1970/01/01 00:00:00+00,80,
92,2020/05/21 00:00:00+00,20162,4838,1278,14046,973,263,36,674,23.9956353536356,6.33865687927785,69.6657077670866,333415,160374,140212,10039,6235,13120,48358,,,,,,,,,,,,1970/01/01 00:00:00+00,81,
41,2020/05/22 00:00:00+00,20796,5057,1326,14413,634,219,48,367,24.3171763800731,6.37622619734564,69.3065974225813,,21743,148173,,8595,,,,,,,,,,,,,,1970/01/01 00:00:00+00,82,
93,2020/05/23 00:00:00+00,21745,5249,1351,15145,949,192,25,732,24.1388825017245,6.21292251092205,69.6481949873534,342464,176035,154290,9049,7066,13213,48023,,,,,,,,,,,,1970/01/01 00:00:00+00,83,
42,2020/05/24 00:00:00+00,22271,5402,1372,15497,526,153,21,352,24.2557586098514,6.16047775133582,69.5837636388128,,179964,157593,,3829,,,,,,,,,,,,,,1970/01/01 00:00:00+00,84,
94,2020/05/25 00:00:00+00,22750,5642,1391,15717,479,240,19,220,24.8,6.11428571428571,69.0857142857143,354434,183192,160442,1197,3328,13285,48153,,,,,,,,,,,,1970/01/01 00:00:00+00,85,
43,2020/05/26 00:00:00+00,23165,5877,1418,15870,415,235,27,153,25.3701705158644,6.12130369091302,68.5085257932225,,188302,165137,,511,,,,,,,,,,,,,,1970/01/01 00:00:00+00,86,
95,2020/05/27 00:00:00+00,23851,6057,1473,16321,686,180,55,451,25.3951616284433,6.17584168378684,68.4289966877699,367640,195518,171667,13206,7216,13416,47373,,,,,,,,,,,,1970/01/01 00:00:00+00,87,
44,2020/05/28 00:00:00+00,24538,6240,1496,16802,687,183,23,481,25.4299453908224,6.09666639497922,68.4733882141984,,201311,176773,,5793,10482,139137,,,,,,,,,,,,1970/01/01 00:00:00+00,88,
96,2020/05/29 00:00:00+00,25216,6492,1520,17204,678,252,24,402,25.7455583756345,6.02791878172589,68.2265228426396,380973,205165,179949,13333,3854,13592,49320,,,,,,,,,,,,1970/01/01 00:00:00+00,89,
45,2020/05/30 00:00:00+00,25773,7015,1573,17185,557,523,53,-19,27.2184068598921,6.10328638497653,66.6783067551313,36431,216769,190996,,11604,11165,165549,,,,,,,,,,,,1970/01/01 00:00:00+00,90,
97,2020/05/31 00:00:00+00,26473,7308,1613,17552,700,293,40,367,27.605484833604,6.0930004155177,66.3015147508783,394068,223624,197151,13095,6855,13347,46571,,,,,,,,,,,,1970/01/01 00:00:00+00,91,
98,2020/06/01 00:00:00+00,26940,7637,1641,17662,467,329,28,110,28.3481811432814,6.0913140311804,65.5605048255382,405992,232113,205173,11924,8489,14197,40370,,,,,,,,,,,,1970/01/01 00:00:00+00,92,
99,2020/06/02 00:00:00+00,27549,7935,1663,17951,609,298,22,289,28.8032233474899,6.03651675196922,65.1602599005409,412980,237947,210398,6988,5834,14010,38791,,,,,,,,,,,,1970/01/01 00:00:00+00,93,
100,2020/06/03 00:00:00+00,28233,8406,1698,18129,684,471,35,178,29.7736691106152,6.01423865689087,64.2120922324939,429161,246433,218200,16181,8486,14108,38394,,,,,,,,,,,,1970/01/01 00:00:00+00,94,
101,2020/06/04 00:00:00+00,28818,8892,1721,18205,585,486,23,76,30.8557151780137,5.97196196821431,63.1723228537719,446918,251736,222918,17757,5303,14242,43945,,,,,,,,,,,,1970/01/01 00:00:00+00,95,
102,2020/06/05 00:00:00+00,29521,9443,1770,18308,703,551,49,103,31.9873988008536,5.99573185190204,62.0168693472443,463620,256810,227289,16702,5074,14052,43414,,,,,,,,,,,,1970/01/01 00:00:00+00,96,
46,2020/06/06 00:00:00+00,30514,9907,1801,18806,993,464,31,498,32.4670642983549,5.90220882217998,61.6307268794652,39706,264740,234226,3275,793,11873,169446,,,,,,,,,,,,1970/01/01 00:00:00+00,97,
47,2020/06/07 00:00:00+00,31186,10498,1851,18837,672,591,50,31,33.6625408837299,5.93535560828577,60.4021035079844,42108,269146,237960,2402,4406,12610,173732,,,,,,,,,,,,1970/01/01 00:00:00+00,98,
48,2020/06/08 00:00:00+00,32033,10904,1883,19246,847,406,32,409,34.039896356882,5.87831298972934,60.0817906533887,45378,274430,242397,327,5284,12979,176344,,,,,,,,,,,,1970/01/01 00:00:00+00,99,
49,2020/06/09 00:00:00+00,33076,11414,1923,19739,1043,510,40,493,34.5084048857177,5.8138831781352,59.6777119361471,47478,281653,248577,21,7223,15646,178883,,,,,,,,,,,,1970/01/01 00:00:00+00,100,
50,2020/06/10 00:00:00+00,34316,12129,1959,20228,1240,715,36,489,35.345028558107,5.70870730854412,58.9462641333489,49767,287478,253162,2289,5826,16343,181770,,,,,,,,,,,,1970/01/01 00:00:00+00,101,
51,2020/06/11 00:00:00+00,35295,12636,2000,20659,979,507,41,431,35.8011049723757,5.66652500354158,58.5323700240827,50370,294671,259376,603,7193,16763,186330,,,,,,,,,,,,1970/01/01 00:00:00+00,102,
103,2020/06/12 00:00:00+00,36406,13213,2048,21145,1111,577,48,486,36.2934681096523,5.62544635499643,58.0810855353513,478953,302147,265741,15333,7476,13923,37538,,,,,,,,,,,,1970/01/01 00:00:00+00,103,
104,2020/06/13 00:00:00+00,37420,13776,2091,21553,1014,563,43,408,36.8145376803848,5.58792089791555,57.5975414216996,495527,313275,275855,16574,11128,13578,42450,,,,,,,,,,,,1970/01/01 00:00:00+00,104,
105,2020/06/14 00:00:00+00,38277,14531,2134,21612,857,755,43,59,37.9627452517177,5.57514956762547,56.4621051806568,514287,322933,284656,18760,9658,13574,41639,,,,,,,,,,,,1970/01/01 00:00:00+00,105,
106,2020/06/15 00:00:00+00,39294,15123,2198,21973,1017,592,64,361,38.4867918766224,5.59372932254288,55.9194788008347,523063,329190,289896,8776,6257,13649,36744,,,,,,,,,,,,1970/01/01 00:00:00+00,106,
107,2020/06/16 00:00:00+00,40400,15703,2231,22466,1106,580,33,493,38.8688118811881,5.52227722772277,55.6089108910891,540115,339309,298909,17052,10119,13510,29124,,,,,,,,,,,,1970/01/01 00:00:00+00,107,
108,2020/06/17 00:00:00+00,41431,16243,2276,22912,1031,540,45,446,39.2049431585045,5.49347107238541,55.3015857691101,559872,348278,306847,19757,8969,13279,42714,,,,,,,,,,,,1970/01/01 00:00:00+00,108,
109,2020/06/18 00:00:00+00,42762,16798,2339,23625,1331,555,63,713,39.2825405734063,5.46980964407652,55.2476497825172,580522,358659,315897,20650,10381,17923,36698,,,,,,,,,,,,1970/01/01 00:00:00+00,109,
110,2020/06/19 00:00:00+00,43803,17349,2373,24081,1041,551,34,456,39.6068762413533,5.41743716183823,54.9756865968084,601239,366581,322778,20717,7922,13211,36464,,,,,,,,,,,,1970/01/01 00:00:00+00,110,
111,2020/06/20 00:00:00+00,45029,17883,2429,24717,1226,534,56,636,39.7144062715139,5.39430145017655,54.8912922783095,621156,376518,331489,19917,7877,13150,37336,,,,,,,,,,,,1970/01/01 00:00:00+00,111,
112,2020/06/21 00:00:00+00,45891,18404,2465,25022,862,521,36,305,40.1037240417511,5.37142359068227,54.5248523675666,639385,383105,337214,18229,8647,13225,56436,,,,,,,,,,,,1970/01/01 00:00:00+00,112,
113,2020/06/22 00:00:00+00,46845,18735,2500,25610,954,331,35,588,39.9935959013769,5.336748852599,54.6696552460241,650311,393117,346272,10926,10012,12999,43500,,,,,,,,,,,,1970/01/01 00:00:00+00,113,
114,2020/06/23 00:00:00+00,47896,19241,2535,26120,1051,506,35,510,40.1724569901453,5.29271755470185,54.5348254551528,668219,401681,353785,17908,8564,13348,35983,,,,,,,,,,,,1970/01/01 00:00:00+00,114,
115,2020/06/24 00:00:00+00,49009,19658,2573,26778,1113,417,38,658,40.1110000204044,5.25005611214267,54.6389438674529,689452,413919,364910,21233,12238,13069,36648,,,,,,,,,,,,1970/01/01 00:00:00+00,115,
116,2020/06/25 00:00:00+00,50187,20449,2620,27118,1178,791,47,340,40.7456114133142,5.22047542192201,54.0339131647638,708962,427158,376971,19510,13239,13323,37294,,,,,,,,,,,,1970/01/01 00:00:00+00,116,
117,2020/06/26 00:00:00+00,51427,21333,2683,27411,1240,884,63,293,41.4821008419702,5.21710385595115,53.3007953020787,731781,439907,388480,22819,12749,13506,38381,,,,,,,,,,,,1970/01/01 00:00:00+00,117,
118,2020/06/27 00:00:00+00,52812,21909,2720,28183,1385,576,37,772,41.4848897977732,5.15034461864728,53.3647655835795,753370,449569,396757,21589,9662,13522,40541,,,,,,,,,,,,1970/01/01 00:00:00+00,118,
119,2020/06/28 00:00:00+00,54010,22936,2754,28320,1198,1027,34,137,42.4662099611183,5.09905573042029,52.4347343084614,770600,456636,402626,17230,7067,14712,47658,,,,,,,,,,,,1970/01/01 00:00:00+00,119,
120,2020/06/29 00:00:00+00,55092,23800,2805,28487,1082,864,51,167,43.2004646772671,5.09148333696362,51.7080519857693,782383,465683,410591,11783,9047,13335,41605,,,,,,,,,,,,1970/01/01 00:00:00+00,120,
121,2020/06/30 00:00:00+00,56385,24806,2876,28703,1293,1006,71,216,43.9939700274896,5.10064733528421,50.9053826372262,803896,477318,420933,21515,11636,13182,43797,,,,,,,,,,,,1970/01/01 00:00:00+00,121,
122,2020/07/01 00:00:00+00,57770,25595,2934,29241,1385,789,58,538,44.3050025965034,5.07876060238878,50.6162368011078,825636,492318,434548,21738,15000,13296,45192,,,,,,,,,,,,1970/01/01 00:00:00+00,122,
123,2020/07/02 00:00:00+00,59394,26667,2987,29740,1624,1072,53,499,44.8984745933933,5.02912752129845,50.0723978853083,849155,503132,443738,23519,10814,13359,40778,,,,,,,,,,,,1970/01/01 00:00:00+00,123,
124,2020/07/03 00:00:00+00,60695,27568,3036,30091,1301,901,49,351,45.4205453496993,5.00205947771645,49.5773951725842,871436,519970,459275,22281,16838,13609,38767,,,,,,,,,,,,1970/01/01 00:00:00+00,124,
125,2020/07/04 00:00:00+00,62142,28219,3089,30834,1447,651,53,743,45.4105114093528,4.97087316146889,49.6186154291783,894428,529669,467257,22992,9699,14205,38890,,,,,,,,,,,,1970/01/01 00:00:00+00,125,
126,2020/07/05 00:00:00+00,63749,29105,3171,31473,1607,886,82,639,45.6556181273432,4.97419567365763,49.3701861989992,915482,540175,476426,21045,10506,13767,39928,,,,,,,,,,,,1970/01/01 00:00:00+00,126,
127,2020/07/06 00:00:00+00,64958,29919,3241,31798,1209,814,70,325,46.0589919640383,4.98937775177807,48.9516302841836,928238,552084,487126,12756,11909,13360,38748,,,,,,,,,,,,1970/01/01 00:00:00+00,127,
