Hari_ke,Tanggal,Jumlah_Kasus_Kumulatif,Jumlah_Pasien_Sembuh,Jumlah_Pasien_Meninggal,Jumlah_pasien_dalam_perawatan,Jumlah_Kasus_Baru_per_Hari,Jumlah_Kasus_Sembuh_per_Hari,Jumlah_Kasus_Meninggal_per_Hari,Jumlah_Kasus_Dirawat_per_Hari,Persentase_Pasien_Sembuh,Persentase_Pasien_Meninggal,Persentase_Pasien_dalam_Perawatan,Jumlah_Spesimen_Diperiksa,Jumlah_Kasus_Diperiksa,Jumlah_Negatif,Spesimen_Diperiksa_Baru_Harian,Kasus_Diperiksa_Baru_Harian,PDP,ODP,Penambahan_Kasus_Terkonfirmasi_Terkini,Kasus_Sedang_Investigasi_Lapangan,Jumlah_Spesimen_Diperiksa_Terkini,Jumlah_Kasus_Diperiksa_Terkini,Spesimen_Diperiksa_Baru_Harian_Terkini,Hasil_Positif_Terkini,Hasil_Negatif_Terkini,PDP_Terkini,ODP_Terkini,Jumlah_Provinsi_Terdampak,Jumlah_KabKot_Terdampak,Pembaruan_Terakhir,FID,suspek
144,2020/07/23 00:00:00+00,93657,52164,4576,36917,1906,1909,117,-120,55.697,,39.417,,762957,669300,,13331,,,,,,,,,,,,,,1970/01/01 00:00:00+00,509,
145,2020/07/24 00:00:00+00,95418,53945,4665,36808,1761,1781,89,-109,56.535,,38.576,,777100,681682,,14143,,,,,,,,,,,,,,1970/01/01 00:00:00+00,510,
146,2020/07/25 00:00:00+00,97286,55354,4714,37218,1868,1409,49,410,56.898,,38.256,,789258,691972,,12158,,,,,,,,,,,,,,1970/01/01 00:00:00+00,511,
147,2020/07/26 00:00:00+00,98778,56655,4781,37342,1492,1301,67,124,57.356,,37.804,,796950,698172,,7692,,,,,,,,,,,,,,1970/01/01 00:00:00+00,512,
148,2020/07/27 00:00:00+00,100303,58173,4838,37292,1525,1518,57,-50,57.997,,37.179,,807946,707643,,10996,,,,,,,,,,,,,,1970/01/01 00:00:00+00,513,
149,2020/07/28 00:00:00+00,102051,60539,4901,36611,1748,2366,63,-681,59.322,,35.875,,823168,721117,,15222,,,,,,,,,,,,,,1970/01/01 00:00:00+00,514,
150,2020/07/29 00:00:00+00,104432,62138,4975,37319,2381,1599,74,708,59.501,,35.735,,841027,736595,,17859,,,,,,,,,,,,,,1970/01/01 00:00:00+00,515,
151,2020/07/30 00:00:00+00,106336,64292,5058,36986,1904,2154,83,-333,60.461,,34.782,,856003,749667,,14976,,,,,,,,,,,,,,1970/01/01 00:00:00+00,516,
152,2020/07/31 09:00:00+00,108376,65907,5131,37338,2040,1615,73,352,60.813,,34.452,,866539,758163,,10536,,,,,,,,,,,,,,1970/01/01 00:00:00+00,517,
153,2020/08/01 00:00:00+00,109936,67919,5193,36824,1560,2012,62,-514,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,518,
154,2020/08/02 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,519,
155,2020/08/03 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,520,
156,2020/08/04 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,521,
157,2020/08/05 00:00:00+00,116871,73889,5452,37530,1815,1839,64,-88,63222,4664,32112,1603781,922709,806017,28738,14722,,,,,,,,,,,,,,1970/01/01 00:00:00+00,522,
158,2020/08/06 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,523,
159,2020/08/07 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,524,
160,2020/08/08 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,525,
161,2020/08/09 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,526,
162,2020/08/10 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,527,
163,2020/08/11 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,528,
164,2020/08/12 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,529,
165,2020/08/13 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,530,
166,2020/08/14 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,531,
167,2020/08/15 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,532,
168,2020/08/16 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,533,
169,2020/08/17 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,534,
170,2020/08/18 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,535,
171,2020/08/19 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,536,
172,2020/08/20 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,537,
173,2020/08/21 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,538,
174,2020/08/22 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,539,
175,2020/08/23 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,540,
176,2020/08/24 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,541,
